角色票力排行榜 男子组
序号: [ 日期 | 小组名次 | 票数 ] 人物名称 - 作品名称
182: [ 2015-11-09 | 04 | 09346 ] 诸葛岳人 - 监狱学园
183: [ 2015-10-31 | 05 | 09253 ] 界冢伊奈帆 - ALDNOAH ZERO 第二季
184: [ 2015-11-14 | 08 | 09202 ] 叶山隼人 - 我的青春恋爱物语果然有问题 第二季
185: [ 2015-11-04 | 06 | 09078 ] 简·皮耶尔·波鲁纳雷夫 - JOJO的奇妙冒险 星尘斗士 埃及篇
186: [ 2015-10-31 | 06 | 09064 ] 结城梨斗 - ToLoveRu Darkness 2nd
187: [ 2015-11-02 | 07 | 09059 ] 比克 - 龙珠改 魔人布欧篇
188: [ 2015-11-09 | 05 | 09005 ] 狗神 - 银仙
189: [ 2015-11-14 | 09 | 08973 ] 花京院典明 - JOJO的奇妙冒险 星尘斗士 埃及篇
190: [ 2015-11-24 | 05 | 08944 ] 布兰德 - 斩·赤红之瞳
191: [ 2015-12-02 | 04 | 08916 ] 熊耳 - 夏洛特
192: [ 2015-11-01 | 04 | 08871 ] 伊武崎峻 - 食戟之灵
193: [ 2015-11-13 | 06 | 08778 ] 阳太 - 关于完全听不懂老公在说什么的事
194: [ 2015-11-28 | 07 | 08768 ] 藤原拓海 - 头文字D 新剧场版
195: [ 2015-11-21 | 10 | 08749 ] 唐吉诃德·多弗朗明哥 - 海贼王
196: [ 2015-11-25 | 07 | 08728 ] 神乐(♂) - 银魂°
197: [ 2015-11-09 | 06 | 08716 ] 葬仪屋 - 黑执事 Book of Murder
198: [ 2015-11-20 | 07 | 08674 ] 塔克米·阿尔迪尼 - 食戟之灵
199: [ 2015-12-05 | 06 | 08595 ] 一濑红莲 - 终结的炽天使
200: [ 2015-11-10 | 05 | 08504 ] 藤野清志 - 监狱学园
201: [ 2015-11-19 | 06 | 08494 ] 绿间真太郎 - 黑子的篮球 第三季
202: [ 2015-12-04 | 07 | 08479 ] 柳生九兵卫(♂) - 银魂°
203: [ 2015-11-03 | 06 | 08449 ] 桃城武 - 新网球王子OVA vs Genius10
204: [ 2015-12-03 | 05 | 08386 ] 弗朗西斯·波诺弗瓦(法/国) - 黑塔利亚 第六季
205: [ 2015-11-06 | 05 | 08372 ] 拉伯克 - 斩·赤红之瞳
206: [ 2015-12-03 | 06 | 08364 ] 兵藤一诚 - 高校龙中龙D×D BorN
207: [ 2015-12-01 | 05 | 08359 ] 魔人布欧 - 龙珠改 魔人布欧篇
208: [ 2015-11-17 | 05 | 08338 ] 扎普·伦弗洛 - 血界战线
209: [ 2015-11-06 | 06 | 08318 ] 相马博臣 - 迷糊餐厅 第三季
210: [ 2015-11-20 | 08 | 08236 ] 沃里克·阿尔坎杰罗 - 黑街
211: [ 2015-12-02 | 05 | 08235 ] 白泽 - 鬼灯的冷彻OAD
212: [ 2015-12-03 | 07 | 08218 ] 小鸟游宗太 - 迷糊餐厅 第三季
213: [ 2015-11-25 | 08 | 08180 ] 大木博士 - 宠物小精灵XY
214: [ 2015-11-22 | 08 | 08151 ] 刘 - 黑执事 Book of Murder
215: [ 2015-11-22 | 09 | 08091 ] 宜野座伸元 - 心理测量者 第二季
216: [ 2015-11-17 | 06 | 08040 ] 佐井 - 火影忍者 疾风传
217: [ 2015-11-15 | 05 | 08014 ] 冰室辰也 - 黑子的篮球 第三季
218: [ 2015-11-08 | 05 | 07979 ] 若狭 - 我家浴缸的二三事
219: [ 2015-12-05 | 07 | 07968 ] 风早神人 - 精灵使的剑舞OVA
220: [ 2015-11-30 | 07 | 07951 ] 阿尔弗雷德·F·琼斯(美/国) - 黑塔利亚 第六季
221: [ 2015-11-07 | 11 | 07938 ] 君月士方 - 终结的炽天使
222: [ 2015-11-19 | 07 | 07919 ] 爱徒勇气 - 漫画家与助手们OVA
223: [ 2015-11-11 | 05 | 07900 ] 理事长 - 监狱学园
224: [ 2015-12-05 | 08 | 07774 ] 永近英良 - 东京食尸鬼 第二季
225: [ 2015-11-03 | 07 | 07745 ] 黛千寻 - 黑子的篮球 第三季
226: [ 2015-11-30 | 08 | 07733 ] 绝望王 - 血界战线
227: [ 2015-11-04 | 07 | 07674 ] 特托拉 - 记录的地平线 第二季
228: [ 2015-11-25 | 09 | 07636 ] 四宫小次郎 - 食戟之灵
229: [ 2015-11-06 | 07 | 07631 ] 塞巴斯·蒂安 - OVERLORD
230: [ 2015-11-03 | 08 | 07625 ] 越前龙雅 - 新网球王子OVA vs Genius10
231: [ 2015-11-11 | 06 | 07604 ] 黑羽盗一 - 魔术快斗1412
232: [ 2015-12-02 | 06 | 07571 ] 千·威斯塔利亚 - 赤发白雪姬
233: [ 2015-11-17 | 07 | 07530 ] 金(哈勒昆) - 七大罪
234: [ 2015-11-12 | 05 | 07524 ] 来留主公人 - 魔物娘相伴的日常
235: [ 2015-11-24 | 06 | 07518 ] 日向翔阳 - 排球少年剧场版
236: [ 2015-11-25 | 10 | 07444 ] 观束总二 - 我要成为双马尾
237: [ 2015-11-23 | 04 | 07408 ] 白马探 - 魔术快斗1412
238: [ 2015-11-02 | 08 | 07356 ] 火神大我 - 黑子的篮球 第三季
239: [ 2015-10-31 | 07 | 07315 ] 叶山亮 - 食戟之灵
240: [ 2015-11-11 | 07 | 07309 ] 拉克萨斯·朵勒阿 - 妖精的尾巴 第二季
241: [ 2015-12-05 | 09 | 07221 ] 风间彻 - 蜡笔小新2014剧场版
242: [ 2015-11-02 | 09 | 07200 ] 奈良鹿丸 - 火影忍者 疾风传
243: [ 2015-11-06 | 08 | 07161 ] 游马崎沃克 - 无头骑士异闻录×2 承
244: [ 2015-11-23 | 05 | 07147 ] 越谷卓 - 悠哉日常大王 第二季
245: [ 2015-11-18 | 07 | 07115 ] 穆罕默德·阿布德尔 - JOJO的奇妙冒险 星尘斗士 埃及篇
246: [ 2015-11-18 | 08 | 07065 ] 月见草胧 - 没有黄段子存在的无聊世界
247: [ 2015-11-02 | 10 | 06979 ] 安藤寿来 - 日常系的异能战斗
248: [ 2015-11-17 | 08 | 06915 ] 黑木场凉 - 食戟之灵
249: [ 2015-11-14 | 10 | 06877 ] 芳村 - 东京食尸鬼 第二季
250: [ 2015-12-02 | 07 | 06858 ] 古泉一树 - 小长门有希的消失
251: [ 2015-11-30 | 09 | 06823 ] 基尔伯特·贝什米特(普/鲁/士) - 黑塔利亚 第六季
252: [ 2015-12-03 | 08 | 06797 ] 佐藤润 - 迷糊餐厅 第三季
253: [ 2015-11-08 | 06 | 06794 ] 秋道丁次 - 火影忍者 疾风传
254: [ 2015-11-09 | 07 | 06783 ] 威尔 - 斩·赤红之瞳
255: [ 2015-11-04 | 08 | 06757 ] 龙 - 赤发白雪姬
256: [ 2015-11-28 | 08 | 06737 ] 门田京平 - 无头骑士异闻录×2 承
257: [ 2015-11-23 | 06 | 06683 ] 风见雄二 - 灰色的果实
258: [ 2015-11-23 | 07 | 06598 ] 阿朱罗丸 - 终结的炽天使
259: [ 2015-11-05 | 06 | 06594 ] 堂岛银 - 食戟之灵
260: [ 2015-11-05 | 07 | 06575 ] 索玛·希克扎尔 - 噬神者
261: [ 2015-11-21 | 11 | 06556 ] 迹部景吾 - 新网球王子OVA vs Genius10
262: [ 2015-11-15 | 06 | 06483 ] 山田龙 - 山田君与七个魔女
263: [ 2015-10-31 | 08 | 06439 ] 水柿司 - 可塑性记忆
264: [ 2015-11-06 | 09 | 06438 ] 瑞希 - 元气少女缘结神 第二季
265: [ 2015-12-05 | 10 | 06411 ] 弗利萨 - 龙珠Z 复活的F
266: [ 2015-11-08 | 07 | 06299 ] 九重透流 - 绝对双刃
267: [ 2015-11-13 | 07 | 06274 ] 阿德雷特·麦亚 - 六花的勇者
268: [ 2015-11-11 | 08 | 06211 ] 狮子座艾奥里亚 - 圣斗士星矢 黄金魂
269: [ 2015-11-08 | 08 | 06186 ] 泰格勒威尔穆德·沃鲁恩 - 魔弹之王与战姬
270: [ 2015-12-03 | 09 | 06100 ] 伽吉鲁·雷特福克斯 - 妖精的尾巴 第二季
271: [ 2015-11-27 | 06 | 06090 ] 日向阿基德 - CodeGeass亡国的阿基德
272: [ 2015-12-03 | 10 | 06062 ] 橘·阿历克斯 - 干物妹小埋
273: [ 2015-12-01 | 06 | 06058 ] 大石秀一郎 - 新网球王子OVA vs Genius10
274: [ 2015-11-13 | 08 | 06052 ] 达龙 - 亚尔斯兰战记
275: [ 2015-11-10 | 06 | 06031 ] 药师兜 - 火影忍者 疾风传
