每日晋级数据 TOP8
2015-12-05 晋级数据 TOP8 女子组 (总票数: 129943)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 08 | 04419 |  5.5% ] 福路美穗子 - 咲日和

2015-11-23 晋级数据 TOP8 男子组 (总票数: 86004)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 22317 | 25.9% ] 乙坂有宇 - 夏洛特
[ 02 | 15770 | 18.3% ] 迈特凯 - 火影忍者 疾风传
[ 03 | 14158 | 16.5% ] 长谷川泰三 - 银魂°
[ 04 | 07408 |  8.6% ] 白马探 - 魔术快斗1412
[ 05 | 07147 |  8.3% ] 越谷卓 - 悠哉日常大王 第二季
[ 06 | 06683 |  7.8% ] 风见雄二 - 灰色的果实
[ 07 | 06598 |  7.7% ] 阿朱罗丸 - 终结的炽天使
[ 08 | 05923 |  6.9% ] 马雷·莫莫罗·菲欧雷 - OVERLORD

2015-11-22 晋级数据 TOP8 女子组 (总票数: 163594)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 33483 | 20.5% ] 灰原哀 - 名侦探柯南
[ 02 | 30331 | 18.5% ] 西木野真姬 - Love Live! The School Idol Movie
[ 03 | 23990 | 14.7% ] 阿良良木月火 - 凭物语
[ 04 | 22307 | 13.6% ] 雾岛董香 - 东京食尸鬼 第二季
[ 05 | 18901 | 11.6% ] 小野寺小咲 - 伪恋 第二季
[ 06 | 15687 |  9.6% ] 一色彩羽 - 我的青春恋爱物语果然有问题 第二季
[ 07 | 11036 |  6.7% ] 黑木智子(小丧) - 丧女 TV未放送
[ 08 | 07859 |  4.8% ] 津田琴美 - 妄想学生会OVA

2015-11-22 晋级数据 TOP8 男子组 (总票数: 141045)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 27089 | 19.2% ] 赤羽业 - 暗杀教室
[ 02 | 24943 | 17.7% ] 安兹·乌尔·恭 - OVERLORD
[ 03 | 24875 | 17.6% ] 波特卡斯·D·艾斯 - 海贼王
[ 04 | 21324 | 15.1% ] 山治 - 海贼王
[ 05 | 14217 | 10.1% ] 十一 - 关于完全听不懂老公在说什么的事
[ 06 | 10282 |  7.3% ] 威廉·马克贝斯 - 血界战线
[ 07 | 10164 |  7.2% ] 野原广志 - 蜡笔小新2014剧场版
[ 08 | 08151 |  5.8% ] 刘 - 黑执事 Book of Murder

2015-11-21 晋级数据 TOP8 女子组 (总票数: 135875)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 49804 | 36.7% ] 佐仓千代 - 月刊少女野崎君OVA
[ 02 | 22462 | 16.5% ] 吹雪 - 舰队collection
[ 03 | 15409 | 11.3% ] 冰堂美智留 - 路人女主的养成方法
[ 04 | 12488 |  9.2% ] 种岛白杨 - 迷糊餐厅 第三季
[ 05 | 09934 |  7.3% ] 雷欧奈 - 斩·赤红之瞳
[ 06 | 09479 |  7.0% ] 伊丽莎白·米多福特 - 黑执事 Book of Murder
[ 07 | 08527 |  6.3% ] 天天 - 火影忍者 疾风传
[ 08 | 07772 |  5.7% ] 神崎有希子 - 暗杀教室

2015-11-21 晋级数据 TOP8 男子组 (总票数: 141608)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 28048 | 19.8% ] 伊佐那社 - K MISSING KINGS
[ 02 | 24485 | 17.3% ] 王耀(中/国) - 黑塔利亚 第六季
[ 03 | 18729 | 13.2% ] 赤司征十郎 - 黑子的篮球 第三季
[ 04 | 16682 | 11.8% ] 堀政行 - 月刊少女野崎君OVA
[ 05 | 14498 | 10.2% ] 八坂真寻 - 潜行吧奈亚子F
[ 06 | 14168 | 10.0% ] 刚田武(胖虎) - 哆啦A梦
[ 07 | 12650 |  8.9% ] 松冈凛 - Free! TV未放送
[ 08 | 12348 |  8.7% ] 桥田至(桶子) - 命运石之门 聪明睿智的认知计算

2015-11-20 晋级数据 TOP8 女子组 (总票数: 92886)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 16529 | 17.8% ] 钉宫理惠 - 那就是声优
[ 02 | 14386 | 15.5% ] 名濑美月 - 境界的彼方 剧场版
[ 03 | 11944 | 12.9% ] 笛口雏实 - 东京食尸鬼 第二季
[ 04 | 11928 | 12.8% ] 瑞鹤 - 舰队collection
[ 05 | 11699 | 12.6% ] 猿飞菖蒲 - 银魂°
[ 06 | 11215 | 12.1% ] 樱桃子(小丸子) - 樱桃小丸子 第二季
[ 07 | 07744 |  8.3% ] 拉芙拉·布迪威伊 - IS2 OVA 世界清洗篇
[ 08 | 07441 |  8.0% ] 结城友奈 - 结城友奈是勇者

2015-11-20 晋级数据 TOP8 男子组 (总票数: 114347)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 23681 | 20.7% ] 野比大雄 - 哆啦A梦
[ 02 | 21592 | 18.9% ] 平和岛静雄 - 无头骑士异闻录×2 承
[ 03 | 19613 | 17.2% ] 野原新之助 - 蜡笔小新2014剧场版
[ 04 | 12066 | 10.6% ] 迪奥·布兰度 - JOJO的奇妙冒险 星尘斗士 埃及篇
[ 05 | 10604 |  9.3% ] 城惠 - 记录的地平线 第二季
[ 06 | 09881 |  8.6% ] 月山习 - 东京食尸鬼 第二季
[ 07 | 08674 |  7.6% ] 塔克米·阿尔迪尼 - 食戟之灵
[ 08 | 08236 |  7.2% ] 沃里克·阿尔坎杰罗 - 黑街

2015-11-19 晋级数据 TOP8 女子组 (总票数: 99133)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 16469 | 16.6% ] 阿良良木火怜 - 凭物语
[ 02 | 14093 | 14.2% ] 娜美 - 海贼王
[ 03 | 13894 | 14.0% ] 濑尾结月 - 月刊少女野崎君OVA
[ 04 | 13291 | 13.4% ] 佐村薰 - 关于完全听不懂老公在说什么的事
[ 05 | 13156 | 13.3% ] 武藏 - 宠物小精灵XY
[ 06 | 10681 | 10.8% ] 如月 - 舰队collection
[ 07 | 09912 | 10.0% ] 早乙女乙女 - 没有黄段子存在的无聊世界
[ 08 | 07637 |  7.7% ] 新户绯沙子 - 食戟之灵

2015-11-19 晋级数据 TOP8 男子组 (总票数: 110024)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 27972 | 25.4% ] 空 - 游戏人生OVA
[ 02 | 25005 | 22.7% ] 幸平创真 - 食戟之灵
[ 03 | 13791 | 12.5% ] 近藤勋 - 银魂°
[ 04 | 12122 | 11.0% ] 十束多多良 - K MISSING KINGS
[ 05 | 09745 |  8.9% ] 亚瑟·柯克兰(英/国) - 黑塔利亚 第六季
[ 06 | 08494 |  7.7% ] 绿间真太郎 - 黑子的篮球 第三季
[ 07 | 07919 |  7.2% ] 爱徒勇气 - 漫画家与助手们OVA
[ 08 | 04976 |  4.5% ] 费里德·巴特利 - 终结的炽天使

2015-11-18 晋级数据 TOP8 女子组 (总票数: 108607)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 22898 | 21.1% ] 结衣 - 刀剑神域 第二季
[ 02 | 18336 | 16.9% ] 塞尔提·史特路尔森 - 无头骑士异闻录×2 承
